index,Duration,Total stops,Price,Average Price Per Airlines,Source_NRT,Source_TPE,Destination_NRT,Destination_TPE
1266,200,0.0,354.0,408.04664179104475,0,1,1,0
1268,200,0.0,356.0,386.3411214953271,0,1,1,0
1269,200,0.0,367.0,425.8984375,0,1,1,0
1270,205,0.0,391.0,408.04664179104475,0,1,1,0
1271,205,0.0,156.0,213.1283783783784,0,1,1,0
1273,195,0.0,289.0,395.2901069518717,0,1,1,0
1274,200,0.0,162.0,200.2774193548387,0,1,1,0
1275,205,0.0,165.0,211.75057736720555,0,1,1,0
1276,195,0.0,351.0,395.2901069518717,0,1,1,0
1277,200,0.0,354.0,408.04664179104475,0,1,1,0
1278,205,0.0,351.0,395.2901069518717,0,1,1,0
1279,200,0.0,363.0,386.3411214953271,0,1,1,0
1280,200,0.0,390.0,425.8984375,0,1,1,0
1281,205,0.0,396.0,408.04664179104475,0,1,1,0
1283,195,0.0,427.0,386.3411214953271,0,1,1,0
1284,200,0.0,422.0,505.3943396226415,0,1,1,0
1285,345,1.0,349.0,371.85,0,1,1,0
1286,375,1.0,349.0,371.85,0,1,1,0
1287,200,0.0,152.0,200.2774193548387,0,1,1,0
1288,205,0.0,161.0,211.75057736720555,0,1,1,0
1290,205,0.0,205.0,211.75057736720555,0,1,1,0
1291,205,0.0,204.0,226.32091690544414,0,1,1,0
1292,205,0.0,235.0,226.32091690544414,0,1,1,0
1294,205,0.0,152.0,213.1283783783784,0,1,1,0
1296,200,0.0,354.0,408.04664179104475,0,1,1,0
1297,195,0.0,334.0,395.2901069518717,0,1,1,0
1298,200,0.0,335.0,386.3411214953271,0,1,1,0
1299,195,0.0,335.0,386.3411214953271,0,1,1,0
1300,200,0.0,362.0,425.8984375,0,1,1,0
1301,205,0.0,334.0,395.2901069518717,0,1,1,0
1303,200,0.0,419.0,505.3943396226415,0,1,1,0
207,575,1.0,437.0,395.2901069518717,0,1,1,0
445,370,1.0,227.0,226.32091690544414,0,1,1,0
449,370,1.0,249.0,211.75057736720555,0,1,1,0
461,515,1.0,269.0,216.25,0,1,1,0
464,360,1.0,270.0,211.75057736720555,0,1,1,0
465,350,1.0,266.0,226.32091690544414,0,1,1,0
524,350,1.0,233.0,226.32091690544414,0,1,1,0
530,430,1.0,224.0,226.32091690544414,0,1,1,0
540,350,1.0,233.0,226.32091690544414,0,1,1,0
545,430,1.0,224.0,226.32091690544414,0,1,1,0
561,380,1.0,233.0,226.32091690544414,0,1,1,0
584,515,1.0,251.0,216.25,0,1,1,0
592,375,1.0,315.0,211.75057736720555,0,1,1,0
607,385,1.0,324.0,211.75057736720555,0,1,1,0
611,375,1.0,370.0,211.75057736720555,0,1,1,0
838,340,1.0,347.0,300.09090909090907,0,1,1,0
922,640,1.0,185.0,216.25,0,1,1,0
1102,350,1.0,241.0,226.32091690544414,0,1,1,0
1103,520,1.0,234.0,216.25,0,1,1,0
1104,375,1.0,252.0,211.75057736720555,0,1,1,0
1105,430,1.0,231.0,226.32091690544414,0,1,1,0
1107,510,1.0,255.0,294.1666666666667,0,1,1,0
1148,545,1.0,209.0,216.25,0,1,1,0
1150,520,1.0,235.0,216.25,0,1,1,0
1154,375,1.0,261.0,211.75057736720555,0,1,1,0
1155,515,1.0,245.0,216.25,0,1,1,0
1157,510,1.0,255.0,294.1666666666667,0,1,1,0
1181,520,1.0,243.0,216.25,0,1,1,0
1186,510,1.0,265.0,294.1666666666667,0,1,1,0
1192,1805,2.0,173.0,216.25,0,1,1,0
1215,350,1.0,233.0,226.32091690544414,0,1,1,0
1216,520,1.0,239.0,216.25,0,1,1,0
1219,340,1.0,272.0,300.09090909090907,0,1,1,0
1220,555,1.0,233.0,226.32091690544414,0,1,1,0
1222,430,1.0,247.0,226.32091690544414,0,1,1,0
1230,380,1.0,257.0,226.32091690544414,0,1,1,0
1231,460,1.0,247.0,226.32091690544414,0,1,1,0
1235,585,1.0,249.0,226.32091690544414,0,1,1,0
1247,520,1.0,250.0,216.25,0,1,1,0
1254,350,1.0,286.0,226.32091690544414,0,1,1,0
1262,350,1.0,266.0,226.32091690544414,0,1,1,0
1263,520,1.0,243.0,216.25,0,1,1,0
1264,430,1.0,247.0,226.32091690544414,0,1,1,0
1267,515,1.0,254.0,216.25,0,1,1,0
1295,340,1.0,231.0,300.09090909090907,0,1,1,0
1302,475,1.0,237.0,300.09090909090907,0,1,1,0
207,575,1.0,437.0,446.6,0,1,1,0
445,370,1.0,227.0,261.8636363636364,0,1,1,0
449,370,1.0,249.0,261.8636363636364,0,1,1,0
461,515,1.0,269.0,197.33333333333334,0,1,1,0
464,360,1.0,270.0,261.8636363636364,0,1,1,0
465,350,1.0,266.0,261.8636363636364,0,1,1,0
524,350,1.0,233.0,261.8636363636364,0,1,1,0
530,430,1.0,224.0,328.56962025316454,0,1,1,0
540,350,1.0,233.0,261.8636363636364,0,1,1,0
545,430,1.0,224.0,328.56962025316454,0,1,1,0
561,380,1.0,233.0,261.8636363636364,0,1,1,0
584,515,1.0,251.0,197.33333333333334,0,1,1,0
592,375,1.0,315.0,261.8636363636364,0,1,1,0
607,385,1.0,324.0,341.8787878787879,0,1,1,0
611,375,1.0,370.0,261.8636363636364,0,1,1,0
838,340,1.0,347.0,261.8636363636364,0,1,1,0
922,640,1.0,185.0,197.33333333333334,0,1,1,0
1102,350,1.0,241.0,261.8636363636364,0,1,1,0
1103,520,1.0,234.0,246.55555555555554,0,1,1,0
1104,375,1.0,252.0,261.8636363636364,0,1,1,0
1105,430,1.0,231.0,328.56962025316454,0,1,1,0
1107,510,1.0,255.0,246.55555555555554,0,1,1,0
1148,545,1.0,209.0,197.33333333333334,0,1,1,0
1150,520,1.0,235.0,246.55555555555554,0,1,1,0
1154,375,1.0,261.0,261.8636363636364,0,1,1,0
1155,515,1.0,245.0,197.33333333333334,0,1,1,0
1157,510,1.0,255.0,246.55555555555554,0,1,1,0
1181,520,1.0,243.0,246.55555555555554,0,1,1,0
